"name","latitude","longitude","geometry"
"The Star Vista",1.3080015,103.7883825,c(103.7883825, 1.3080015)
"Lucky Plaza",1.3047869,103.8336232,c(103.8336232, 1.3047869)
"Bras Basah complex",1.2965206,103.8534562,c(103.8534562, 1.2965206)
"Suntec City",1.2942736,103.8606394,c(103.8606394, 1.2942736)
"Marina Bay Link Mall Car Park",1.2806349,103.8532919,c(103.8532919, 1.2806349)
"CP exit",1.3551567,103.8303993,c(103.8303993, 1.3551567)
"Century Square Carpark",1.3527091,103.9437302,c(103.9437302, 1.3527091)
"Plaza Singapura",1.3008996,103.8454748,c(103.8454748, 1.3008996)
"VivoCity Car Park",1.2640493,103.8209593,c(103.8209593, 1.2640493)
"VivoCity Car Park",1.2655102,103.8225956,c(103.8225956, 1.2655102)
"Orchard (NSL) Exit C",1.304072,103.8326366,c(103.8326366, 1.304072)
"Novena Square 2",1.3210368,103.8437197,c(103.8437197, 1.3210368)
"HarbourFront Exit E (CCL/NEL)",1.2650286,103.8215773,c(103.8215773, 1.2650286)
"Access to Beauty World Food Center",1.3425567,103.7767967,c(103.7767967, 1.3425567)
"PoMo Main Entrance",1.2998065,103.8493361,c(103.8493361, 1.2998065)
"Farrer Park (NEL)",1.311567,103.8560557,c(103.8560557, 1.311567)
"Bencoolen Underground Mall",1.2981814,103.8496472,c(103.8496472, 1.2981814)
"Bencoolen Underground Mall",1.2992237,103.8507551,c(103.8507551, 1.2992237)
"Esplanade (CCL)",1.2928962,103.8562024,c(103.8562024, 1.2928962)
"BHG Department Store",1.2995353,103.8558492,c(103.8558492, 1.2995353)
"Katong V",1.3031334,103.9032312,c(103.9032312, 1.3031334)
"H & M",1.3016486,103.8374427,c(103.8374427, 1.3016486)
"Five Guys",1.2999322,103.8448273,c(103.8448273, 1.2999322)
"Main Entrance",1.3000054,103.8446257,c(103.8446257, 1.3000054)
"Plaza Singapura",1.300569,103.8452623,c(103.8452623, 1.300569)
"Loading / Unloading",1.2994387,103.8480634,c(103.8480634, 1.2994387)
"CP entrance",1.3548372,103.8313814,c(103.8313814, 1.3548372)
"Zhongshan Mall",1.3272079,103.8464351,c(103.8464351, 1.3272079)
"The Poiz Centre",1.331436,103.8685709,c(103.8685709, 1.331436)
"Parkway Parade",1.3009291,103.9060985,c(103.9060985, 1.3009291)
"Bedok Mall",1.3240221,103.9287028,c(103.9287028, 1.3240221)
"Clarke Quay Central",1.2889993,103.8461796,c(103.8461796, 1.2889993)
"Entrance",1.3596046,103.8849434,c(103.8849434, 1.3596046)
"Heartland Mall Exit",1.3591967,103.8855208,c(103.8855208, 1.3591967)
"Golden Monkey",1.2980452,103.8498582,c(103.8498582, 1.2980452)
"Jalan Besar Plaza",1.3082415,103.8581581,c(103.8581581, 1.3082415)
"Exclusive Entrance & Exit for D'Resort Guests",1.379414,103.9550995,c(103.9550995, 1.379414)
"Main Entrance to Beauty World Center",1.3423697,103.7760099,c(103.7760099, 1.3423697)
"Entrance to Giant Express",1.3423031,103.7760227,c(103.7760227, 1.3423031)
"Excelsior Shopping Centre",1.2920995,103.8496887,c(103.8496887, 1.2920995)
"Changi Airport Terminal 1",1.36237070769311,103.990647831184,c(103.990647831184, 1.36237070769311)
"Sim Lim Square",1.30303307612707,103.853025611707,c(103.853025611707, 1.30303307612707)
"Broadway Plaza",1.37193525019323,103.84595974968,c(103.84595974968, 1.37193525019323)
"Compass One",1.39203888419843,103.894960248253,c(103.894960248253, 1.39203888419843)
